"gene","degree","betweenness","closeness","hub_score"
"NFKB1",44,0.277473020517707,0.50261780104712,12.0667844396184
"EP300",37,0.251368811592139,0.516129032258065,10.598741186837
"NCOR1",26,0.0687388456695585,0.412017167381974,3.8239393742935
"CFTR",28,0.0374349182580701,0.339222614840989,2.84157185839548
"NR3C1",18,0.0587032043205452,0.450704225352113,2.80036247854775
"PSMA4",29,0.00441251195894017,0.377952755905512,2.26976925434203
"PSMA3",29,0.00441251195894017,0.377952755905512,2.26976925434203
"PSMA2",29,0.00441251195894017,0.377952755905512,2.26976925434203
"PSMB7",29,0.00441251195894017,0.377952755905512,2.26976925434203
"PSMA6",29,0.00441251195894017,0.377952755905512,2.26976925434203
"PSMB1",29,0.00441251195894017,0.377952755905512,2.26976925434203
"LAP3",3,0,1,2.26743233351803
"GCLC",3,0,1,2.26743233351803
"PON1",2,0,1,2.14835281119279
"MPO",2,0,1,2.14835281119279
"GHSR",2,0,1,2.14835281119279
"MC3R",2,0,1,2.14835281119279
"ANPEP",2,0,1,2.14835281119279
"ALOX12",1,0,1,2.02927328886755
"ALOX5",1,0,1,2.02927328886755
"ODC1",27,0.0108482409490012,0.298136645962733,1.79300315410237
"AKT1",6,0.0720730224154121,0.428571428571429,1.61780242789961
"SPR",8,0.00225120322931222,0.727272727272727,1.51497190100775
"IL2",12,0.0552943851718062,0.352941176470588,1.488987385144
"TPH1",6,0.00209594783418724,0.727272727272727,1.27262419406893
"VEGFA",4,0.0755295167234874,0.380952380952381,1.226951821375
"HDAC1",7,0.038077386892799,0.413793103448276,0.743380056464005
"HDAC2",7,0.0329206785007884,0.4,0.533017105579629
"PDGFRB",8,0.0376011852784478,0.334494773519164,0.440048598808492
"CSK",8,0.0306068189982683,0.322147651006711,0.187575421430418
"CDK2",8,0.0247480817255397,0.324324324324324,0.0407537070666537
"TNFRSF1A",7,0.0180942669908237,0.370656370656371,-0.018542476935222
"STAT1",5,0.02386736911251,0.382470119521912,-0.0399318335401405
"LCK",4,0.0275474475506955,0.377952755905512,-0.0830573556269105
"GSK3A",6,0.0298178471014107,0.318936877076412,-0.0884525776057367
"ESR1",7,0.0143609062764948,0.366412213740458,-0.141185870225256
"HDAC3",7,0.00804106454497021,0.395061728395062,-0.163719722765451
"AKR1B10",2,0,0.533333333333333,-0.261907429772397
"QDPR",2,0,0.533333333333333,-0.261907429772397
"AKR1B1",2,0,0.533333333333333,-0.261907429772397
"MMP2",3,0.0436267660301196,0.281524926686217,-0.266364784887839
"PSMB6",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMB10",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMB5",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMB8",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMB3",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMA1",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMB9",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMA5",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMB11",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMA7",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMB2",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMA8",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"PSMB4",9,0.000766741300297585,0.360902255639098,-0.298244235709975
"HDAC6",4,0.0139189657509592,0.391836734693878,-0.379033958877693
"IDO1",2,0.00108678776587486,0.5,-0.404748239537296
"HDAC7",8,0.000540736928720161,0.362264150943396,-0.41638719331757
"JUN",5,0.0111174250502102,0.375,-0.422496787638351
"AR",6,0.00857559697420627,0.360902255639098,-0.444806328286837
"IL1B",6,0.00129801338327599,0.388663967611336,-0.497764626707648
"MAPK8",4,0.00740338541129108,0.4,-0.512656946541505
"APP",3,0.01512898198888,0.382470119521912,-0.513845343123295
"HDAC4",7,0.000286109636365808,0.360902255639098,-0.54937032555505
"HDAC5",6,0.00848596195160015,0.328767123287671,-0.613197532521927
"NCOR2",6,0.0019399916841154,0.355555555555556,-0.651444345167319
"CREB1",4,0.00934773691409017,0.360902255639098,-0.662133675301928
"PPARG",4,0.00260118903856659,0.388663967611336,-0.700765068863225
"TERT",3,0.0108553875594048,0.365019011406844,-0.719275630091477
"PRKG2",2,0,0.444444444444444,-0.72100461852767
"NR0B2",5,0.0108300848740623,0.311688311688312,-0.757243942031643
"RHOA",4,0.0187243595475527,0.287425149700599,-0.788657887334874
"GSK3B",4,0.00944555193571813,0.335664335664336,-0.789844610575753
"AHR",4,0.0155738491194195,0.295384615384615,-0.832546662136849
"TH",1,0,0.444444444444444,-0.840084140852912
"PCNA",3,0.00588090495228322,0.356877323420074,-0.895533604157407
"CDK4",5,0.00360316635370953,0.318936877076412,-0.914782527912452
"CXCL8",3,0,0.377952755905512,-0.945344253145349
"NOS3",2,0.0098243485209402,0.349090909090909,-0.948437887528
"PPARA",3,0.00292193455958945,0.354243542435424,-0.988967246914244
"ARG2",4,0.00698948015808683,0.300940438871473,-1.03545088618026
"SYK",2,0.00358253737710478,0.356877323420074,-1.07662118474772
"THRA",5,0.000590169546853292,0.296296296296296,-1.11300574603521
"BRD4",3,0,0.345323741007194,-1.11386800452665
"RARB",2,0.000894825262958636,0.345323741007194,-1.20880588056266
"HDAC9",2,0,0.349090909090909,-1.21349069373787
"HSPA1A",2,0,0.345323741007194,-1.2329475268519
"FOS",2,0,0.345323741007194,-1.2329475268519
"MAPK9",2,0.00119034081048676,0.336842105263158,-1.24463943541455
"AKT3",4,0.00137805506592015,0.286567164179104,-1.26107821155307
"LNPEP",2,0.00599629007393604,0.302839116719243,-1.29059900502618
"KYNU",1,0,0.347826086956522,-1.33910282428256
"PRKAA1",2,0.0113464034115472,0.260162601626016,-1.36667488362881
"CBX7",3,0,0.287425149700599,-1.41290516017132
"CBX4",3,0,0.287425149700599,-1.41290516017132
"FYN",3,0.0016256480925376,0.276657060518732,-1.42466201180268
"PTPN11",3,0.0016256480925376,0.276657060518732,-1.42466201180268
"ESR2",2,0.00074840422094616,0.299065420560748,-1.45167317912989
"MMP14",2,0.0147492625368732,0.221198156682028,-1.47611381114355
"THRB",2,0,0.294478527607362,-1.49555509035405
"NOS2",3,0.00238086453623661,0.258760107816712,-1.49672185368097
"IDE",2,0.00190143795672493,0.284023668639053,-1.49825357431458
"GNB1",2,0.00169605615862237,0.28486646884273,-1.49944167449363
"MAPT",2,0.0057591333762125,0.247422680412371,-1.58321451063405
"HLA-A",2,0.000624404373685176,0.273504273504274,-1.58703791355382
"USP4",2,0,0.271186440677966,-1.61585507118625
"EGFR",2,0.000456218332872488,0.26158038147139,-1.65316046873183
"CAPN1",2,0.00161364513997226,0.245524296675192,-1.70486121290724
"AKT2",2,0.000423070951715572,0.243654822335025,-1.74663746301073
"CDC25B",2,0,0.245524296675192,-1.7483960255887
"PRKAB2",2,0.00265675776250666,0.224824355971897,-1.78363084774498
"CAPNS1",2,0.000730910519534865,0.224824355971897,-1.83558861522374
"PTPN1",1,0,0.25130890052356,-1.8375989750594
"CYP1A1",1,0,0.228571428571429,-1.95503445640143
"MMP1",1,0,0.220183486238532,-1.99835686477677
"MMP15",1,0,0.181474480151229,-2.19828281836142
